Sample1, Cycle 1
5/15/2022 9:44:14 AM
Wavelength (nm),Absorbance
700.00,-0.001915
699.00,-0.001988
698.00,-0.002473
697.00,-0.000629
696.00,-0.001204
695.00,-0.002064
694.00,-0.002421
693.00,-0.002784
692.00,-0.002124
691.00,-0.001473
690.00,-0.002670
689.00,-0.001991
688.00,-0.001599
687.00,-0.002023
686.00,-0.000845
685.00,-0.001762
684.00,-0.001128
683.00,-0.001861
682.00,-0.002183
681.00,-0.001972
680.00,-0.001874
679.00,-0.002467
678.00,-0.001258
677.00,-0.002672
676.00,-0.002735
675.00,-0.001743
674.00,-0.002090
673.00,-0.001885
672.00,-0.001819
671.00,-0.001561
670.00,-0.001670
669.00,-0.001223
668.00,-0.002178
667.00,-0.001366
666.00,-0.002358
665.00,-0.002199
664.00,-0.001956
663.00,-0.002147
662.00,-0.001803
661.00,-0.001528
660.00,-0.002188
659.00,-0.002340
658.00,-0.001601
657.00,-0.001462
656.00,-0.002531
655.00,-0.000690
654.00,-0.002325
653.00,-0.001303
652.00,-0.001728
651.00,-0.002897
650.00,-0.001293
649.00,-0.002225
648.00,-0.001058
647.00,-0.001670
646.00,-0.001953
645.00,-0.000885
644.00,-0.002348
643.00,-0.002353
642.00,-0.001249
641.00,-0.001477
640.00,-0.001805
639.00,-0.000034
638.00,-0.001783
637.00,-0.001800
636.00,-0.002008
635.00,-0.002192
634.00,-0.002233
633.00,-0.001851
632.00,-0.000723
631.00,-0.001953
630.00,-0.001850
629.00,-0.001204
628.00,-0.001747
627.00,-0.001416
626.00,-0.001694
625.00,-0.000586
624.00,-0.001433
623.00,-0.001750
622.00,-0.000977
621.00,-0.001192
620.00,-0.002343
619.00,-0.001835
618.00,-0.002369
617.00,0.000254
616.00,-0.001636
615.00,-0.001912
614.00,-0.001438
613.00,-0.002170
612.00,-0.002059
611.00,-0.001194
610.00,-0.001161
609.00,-0.000715
608.00,-0.001114
607.00,-0.001623
606.00,-0.001464
605.00,-0.001693
604.00,-0.001238
603.00,-0.001290
602.00,-0.000942
601.00,-0.001048
600.00,-0.001004
599.00,-0.000118
598.00,-0.001939
597.00,-0.001007
596.00,-0.000766
595.00,-0.002057
594.00,-0.000839
593.00,-0.000453
592.00,-0.000322
591.00,-0.000637
590.00,-0.000641
589.00,-0.000643
588.00,0.000239
587.00,-0.001038
586.00,-0.000079
585.00,0.000188
584.00,-0.000681
583.00,-0.000488
582.00,0.000326
581.00,0.000039
580.00,-0.000088
579.00,0.000703
578.00,0.000379
577.00,-0.000105
576.00,0.000654
575.00,0.000098
574.00,0.000756
573.00,0.001572
572.00,0.001049
571.00,0.000957
570.00,0.001865
569.00,0.001412
568.00,0.001715
567.00,0.000906
566.00,0.000957
565.00,0.001328
564.00,0.002344
563.00,0.002403
562.00,0.003542
561.00,0.003278
560.00,0.003368
559.00,0.002952
558.00,0.003609
557.00,0.004337
556.00,0.004171
555.00,0.004941
554.00,0.004810
553.00,0.005057
552.00,0.004933
551.00,0.004493
550.00,0.005587
549.00,0.006305
548.00,0.005811
547.00,0.006691
546.00,0.006321
545.00,0.006877
544.00,0.007444
543.00,0.007396
542.00,0.007926
541.00,0.008409
540.00,0.008698
539.00,0.008799
538.00,0.009502
537.00,0.009791
536.00,0.009774
535.00,0.010056
534.00,0.010507
533.00,0.010913
532.00,0.011694
531.00,0.012202
530.00,0.012763
529.00,0.012833
528.00,0.013543
527.00,0.014153
526.00,0.014402
525.00,0.014699
524.00,0.015054
523.00,0.015551
522.00,0.015895
521.00,0.017152
520.00,0.017355
519.00,0.017741
518.00,0.018472
517.00,0.018810
516.00,0.019421
515.00,0.020140
514.00,0.020932
513.00,0.021660
512.00,0.021828
511.00,0.022775
510.00,0.023222
509.00,0.023797
508.00,0.024376
507.00,0.024257
506.00,0.025571
505.00,0.026753
504.00,0.026543
503.00,0.027672
502.00,0.028361
501.00,0.028629
500.00,0.029287
499.00,0.030064
498.00,0.030247
497.00,0.030844
496.00,0.032121
495.00,0.033027
494.00,0.033591
493.00,0.033842
492.00,0.034807
491.00,0.035543
490.00,0.036245
489.00,0.036525
488.00,0.037341
487.00,0.037787
486.00,0.038718
485.00,0.039323
484.00,0.040167
483.00,0.040431
482.00,0.041319
481.00,0.042058
480.00,0.042614
479.00,0.042923
478.00,0.043594
477.00,0.044313
476.00,0.045258
475.00,0.045509
474.00,0.046347
473.00,0.046578
472.00,0.047009
471.00,0.047743
470.00,0.048127
469.00,0.049155
468.00,0.049526
467.00,0.049570
466.00,0.050327
465.00,0.050840
464.00,0.051343
463.00,0.051541
462.00,0.052126
461.00,0.052760
460.00,0.052969
459.00,0.053309
458.00,0.053504
457.00,0.053749
456.00,0.054449
455.00,0.055037
454.00,0.055171
453.00,0.055801
452.00,0.055711
451.00,0.056330
450.00,0.056332
449.00,0.056510
448.00,0.057053
447.00,0.056950
446.00,0.057187
445.00,0.057261
444.00,0.057713
443.00,0.057393
442.00,0.058086
441.00,0.057866
440.00,0.058162
439.00,0.058558
438.00,0.058253
437.00,0.057776
436.00,0.058528
435.00,0.058706
434.00,0.058685
433.00,0.058941
432.00,0.059043
431.00,0.058981
430.00,0.059195
429.00,0.058929
428.00,0.058566
427.00,0.058715
426.00,0.058664
425.00,0.058604
424.00,0.058502
423.00,0.058313
422.00,0.058419
421.00,0.058605
420.00,0.058303
419.00,0.058205
418.00,0.057705
417.00,0.057763
416.00,0.058180
415.00,0.058039
414.00,0.057540
413.00,0.057585
412.00,0.057187
411.00,0.056565
410.00,0.056818
409.00,0.056164
408.00,0.056503
407.00,0.056142
406.00,0.055436
405.00,0.055844
404.00,0.055244
403.00,0.054377
402.00,0.054708
401.00,0.053716
400.00,0.053567
399.00,0.054115
398.00,0.053068
397.00,0.052331
396.00,0.052391
395.00,0.052120
394.00,0.051374
393.00,0.051052
392.00,0.050699
391.00,0.049925
390.00,0.049647
389.00,0.049827
388.00,0.049117
387.00,0.048217
386.00,0.047518
385.00,0.046633
384.00,0.046090
383.00,0.046172
382.00,0.044617
381.00,0.045117
380.00,0.044230
379.00,0.043782
378.00,0.042893
377.00,0.042738
376.00,0.042106
375.00,0.040496
374.00,0.040602
373.00,0.040116
372.00,0.039555
371.00,0.038540
370.00,0.037864
369.00,0.036706
368.00,0.035649
367.00,0.036141
366.00,0.036111
365.00,0.034650
364.00,0.033662
363.00,0.033587
362.00,0.033504
361.00,0.032828
360.00,0.032393
359.00,0.031531
358.00,0.030277
357.00,0.029555
356.00,0.028955
355.00,0.029689
354.00,0.028216
353.00,0.028618
352.00,0.027694
351.00,0.027359
350.00,0.026447
349.00,0.026932
348.00,0.026017
347.00,0.026463
346.00,0.025864
345.00,0.025033
344.00,0.024848
343.00,0.025486
342.00,0.025293
341.00,0.024927
340.00,0.025027
339.00,0.025178
338.00,0.026548
337.00,0.025747
336.00,0.027739
335.00,0.026573
334.00,0.028160
333.00,0.028287
332.00,0.029361
331.00,0.030107
330.00,0.031014
329.00,0.031654
328.00,0.033881
327.00,0.034748
326.00,0.037557
325.00,0.038422
324.00,0.039758
323.00,0.041539
322.00,0.044641
321.00,0.046935
320.00,0.049558
