Fe-DFOB+ phosphate buffer +H2O2 + water, Cycle 1
5/23/2022 3:18:18 PM
Wavelength (nm),Absorbance
700.00,0.005742
699.00,0.005576
698.00,0.005990
697.00,0.005759
696.00,0.005065
695.00,0.006197
694.00,0.005129
693.00,0.005750
692.00,0.005621
691.00,0.006275
690.00,0.006180
689.00,0.006541
688.00,0.005968
687.00,0.005980
686.00,0.005667
685.00,0.006002
684.00,0.006548
683.00,0.006703
682.00,0.006279
681.00,0.005794
680.00,0.006727
679.00,0.006129
678.00,0.005673
677.00,0.006248
676.00,0.006266
675.00,0.006810
674.00,0.006974
673.00,0.006088
672.00,0.005074
671.00,0.005601
670.00,0.006232
669.00,0.006581
668.00,0.006310
667.00,0.006476
666.00,0.006412
665.00,0.005983
664.00,0.005715
663.00,0.006449
662.00,0.007347
661.00,0.006082
660.00,0.006759
659.00,0.006826
658.00,0.007177
657.00,0.006721
656.00,0.007382
655.00,0.005446
654.00,0.006036
653.00,0.005748
652.00,0.006736
651.00,0.005982
650.00,0.006406
649.00,0.006470
648.00,0.006058
647.00,0.005957
646.00,0.006314
645.00,0.004995
644.00,0.007062
643.00,0.005439
642.00,0.006182
641.00,0.006292
640.00,0.006490
639.00,0.006623
638.00,0.006105
637.00,0.007565
636.00,0.005833
635.00,0.006022
634.00,0.006489
633.00,0.007102
632.00,0.006708
631.00,0.006095
630.00,0.006628
629.00,0.007039
628.00,0.007249
627.00,0.006428
626.00,0.005896
625.00,0.006638
624.00,0.006726
623.00,0.006735
622.00,0.006774
621.00,0.007228
620.00,0.008005
619.00,0.007300
618.00,0.007459
617.00,0.006980
616.00,0.006048
615.00,0.007668
614.00,0.007396
613.00,0.007449
612.00,0.006944
611.00,0.007722
610.00,0.007880
609.00,0.007969
608.00,0.007219
607.00,0.007403
606.00,0.007272
605.00,0.007300
604.00,0.007843
603.00,0.007472
602.00,0.007542
601.00,0.007349
600.00,0.007568
599.00,0.008651
598.00,0.008249
597.00,0.008214
596.00,0.008179
595.00,0.008086
594.00,0.008576
593.00,0.007634
592.00,0.008239
591.00,0.008580
590.00,0.007764
589.00,0.008592
588.00,0.007935
587.00,0.008534
586.00,0.008266
585.00,0.007743
584.00,0.007488
583.00,0.008582
582.00,0.009266
581.00,0.008163
580.00,0.008845
579.00,0.008867
578.00,0.009614
577.00,0.009084
576.00,0.009206
575.00,0.009720
574.00,0.009124
